weather_forecast,location,email,social_media,flyers_distributed,others,rating,attendance
Rain,Park,396,752,259,842,4,2031
Sunny,Arena,624,866,619,121,6,28091
Rain,Theater,104,423,882,478,4,1962
Partly Cloudy,Park,191,141,796,618,4,17942
Extreme Heat,Theater,16,290,570,95,4,1786
Storm,Arena,119,431,124,858,9,3077
Storm,Theater,392,748,353,413,7,2703
Partly Cloudy,Convention Center,424,851,272,234,3,1699
Rain,Stadium,128,823,618,897,3,1814
Clear,Park,129,688,810,61,6,21749
Rain,Stadium,571,652,244,255,6,2413
Partly Cloudy,Theater,559,700,847,560,4,2111
Storm,Park,28,997,449,904,9,3341
Rain,Theater,96,48,929,347,4,1872
Storm,Convention Center,9,301,246,670,9,2982
Clear,Arena,241,880,519,123,4,18101
Storm,Park,825,189,140,481,2,1435
Storm,Convention Center,955,135,361,316,2,1454
Extreme Heat,Convention Center,231,554,7,503,5,2079
Extreme Heat,Park,788,403,477,718,4,2058
Sunny,Theater,283,891,351,47,7,2615
Extreme Heat,Convention Center,714,864,995,408,5,2443
Storm,Stadium,758,601,494,931,6,2668
Partly Cloudy,Convention Center,801,806,605,135,10,3588
Storm,Theater,775,340,832,200,4,2012
Partly Cloudy,Theater,954,756,426,249,2,1543
Partly Cloudy,Stadium,725,944,38,313,10,35887
Extreme Heat,Convention Center,199,703,592,868,9,3336
Rain,Theater,944,317,186,367,10,3409
Clear,Park,78,617,595,428,7,24310
Extreme Heat,Arena,912,362,599,829,4,2118
Extreme Heat,Arena,955,821,753,806,3,1960
Rain,Arena,854,381,853,479,10,3662
Clear,Convention Center,855,232,92,313,3,1650
Storm,Stadium,172,776,85,499,9,3077
Sunny,Theater,466,343,43,720,5,2139
Sunny,Park,580,548,136,354,3,14651
Storm,Park,415,816,420,484,5,2261
Extreme Heat,Convention Center,939,552,73,210,2,1455
Clear,Arena,448,528,547,703,4,22435
Extreme Heat,Convention Center,86,855,612,43,10,3336
Partly Cloudy,Stadium,100,788,987,540,2,18153
Extreme Heat,Stadium,7,818,511,570,2,1474
Extreme Heat,Theater,844,570,155,582,8,3019
Storm,Theater,199,934,937,91,1,1259
Storm,Stadium,504,182,254,264,7,2517
Storm,Stadium,86,40,170,894,5,2057
Sunny,Stadium,42,550,980,219,8,27545
Partly Cloudy,Convention Center,384,396,727,901,1,1288
Storm,Stadium,620,703,169,924,7,2837
Clear,Park,434,778,763,441,5,27240
Sunny,Arena,407,493,871,400,4,21920
Rain,Stadium,482,658,321,399,7,2691
Clear,Arena,663,906,566,726,10,49663
Clear,Convention Center,16,332,455,990,2,1458
Storm,Arena,644,126,943,898,1,1313
Rain,Convention Center,147,557,602,788,1,1251
Rain,Park,276,556,789,575,1,1263
Sunny,Convention Center,231,0,612,857,5,2167
Rain,Convention Center,825,167,154,803,10,3454
Partly Cloudy,Theater,926,619,888,489,7,2971
Storm,Stadium,365,18,348,484,2,1374
Rain,Stadium,227,331,450,756,10,3392
Sunny,Park,650,583,875,469,8,38581
Partly Cloudy,Park,435,455,652,573,4,21396
Extreme Heat,Stadium,398,956,172,937,3,1813
Extreme Heat,Theater,210,108,9,843,10,3193
Partly Cloudy,Stadium,390,267,739,681,8,31561
Sunny,Theater,498,444,264,444,2,1437
Partly Cloudy,Park,539,239,437,268,3,13545
Storm,Arena,562,928,759,266,3,1822
Storm,Park,490,300,246,53,10,3165
Extreme Heat,Park,441,601,666,527,1,1268
Rain,Convention Center,260,102,545,519,6,2342
Sunny,Convention Center,772,987,498,615,2,1613
Extreme Heat,Convention Center,349,249,128,58,1,1094
Rain,Convention Center,351,452,671,824,2,1530
Rain,Theater,519,519,600,39,6,2402
Storm,Stadium,319,152,604,236,4,1851
Clear,Arena,137,858,326,954,6,28617
Clear,Park,549,173,752,385,9,30875
Partly Cloudy,Theater,622,342,834,605,10,3607
Storm,Arena,991,669,979,733,10,3932
Rain,Theater,367,430,403,715,8,2951
Sunny,Theater,219,726,628,649,1,1266
Clear,Park,336,688,605,299,8,29469
Rain,Stadium,222,686,674,394,9,3216
Clear,Convention Center,647,851,610,206,6,2555
Clear,Stadium,767,849,624,335,10,44978
Clear,Park,359,657,358,592,5,22501
Sunny,Park,920,961,602,729,6,39580
Storm,Park,328,323,857,513,6,2485
Sunny,Arena,961,989,717,177,9,45857
Extreme Heat,Stadium,462,672,16,395,4,1896
Rain,Stadium,945,638,273,370,2,1520
Storm,Theater,962,419,684,857,9,3511
Storm,Theater,560,593,115,790,2,1496
Storm,Theater,803,484,860,657,10,3742
Storm,Park,381,658,979,317,9,3328
Sunny,Stadium,835,750,692,735,2,22344
Storm,Park,589,411,90,368,8,2819
Partly Cloudy,Arena,616,935,81,383,9,33248
Rain,Theater,168,83,323,61,10,3013
Storm,Park,216,112,960,805,9,3253
Rain,Park,377,736,113,504,10,3381
Partly Cloudy,Arena,118,331,768,238,9,24730
Partly Cloudy,Convention Center,189,377,57,194,2,1317
Rain,Stadium,766,754,153,677,4,2051
Clear,Convention Center,369,654,876,962,7,2955
Extreme Heat,Theater,777,40,403,221,2,1407
Clear,Park,148,934,627,60,1,11348
Clear,Arena,675,769,854,128,3,21268
Sunny,Arena,651,958,265,989,4,28397
Clear,Stadium,858,796,314,684,8,39634
Storm,Convention Center,487,104,714,991,6,2551
Sunny,Stadium,769,201,40,155,2,9378
Sunny,Park,373,449,104,916,9,30616
Partly Cloudy,Stadium,780,818,900,377,2,21382
Clear,Arena,692,842,889,621,5,33853
Partly Cloudy,Arena,159,972,192,780,4,21284
Rain,Theater,350,265,400,922,7,2711
Extreme Heat,Theater,911,909,277,867,8,3253
Sunny,Park,287,209,353,902,5,20238
Rain,Convention Center,287,562,748,789,10,3601
Rain,Stadium,891,117,936,585,5,2346
Storm,Park,225,712,732,998,2,1584
Extreme Heat,Theater,522,376,579,436,8,2950
Rain,Stadium,521,550,708,974,2,1596
Rain,Theater,782,539,255,206,10,3398
Extreme Heat,Stadium,272,770,650,387,6,2498
Extreme Heat,Convention Center,935,83,823,479,8,3068
Rain,Park,401,453,946,790,6,2621
Extreme Heat,Stadium,182,666,660,886,4,2059
Rain,Arena,968,628,98,837,4,2085
Rain,Arena,664,513,587,983,6,2659
Storm,Stadium,487,604,281,339,4,1928
Clear,Stadium,826,677,882,868,8,48072
Rain,Stadium,845,386,402,339,9,3215
Partly Cloudy,Arena,123,911,108,203,1,8868
Sunny,Arena,984,349,699,160,4,22117
Clear,Stadium,625,295,198,539,4,17109
Clear,Theater,789,257,302,391,2,1450
Clear,Theater,413,80,326,768,6,2380
Storm,Convention Center,979,936,153,676,3,1860
Rain,Park,724,267,551,574,7,2758
Storm,Theater,171,418,644,533,5,2181
Rain,Arena,287,234,404,69,4,1790
Storm,Theater,434,832,461,892,5,2365
Storm,Convention Center,685,310,131,404,8,2840
Sunny,Convention Center,112,812,790,607,3,1789
Partly Cloudy,Park,887,974,873,674,7,46060
Storm,Theater,916,985,83,590,6,2617
Sunny,Arena,994,356,398,516,1,14244
Extreme Heat,Arena,121,212,753,827,7,2705
Partly Cloudy,Stadium,543,573,627,119,7,26163
Storm,Arena,221,48,108,813,1,1142
Clear,Park,630,126,220,689,9,27924
Extreme Heat,Park,38,222,903,687,6,2444
Extreme Heat,Arena,496,920,552,901,2,1613
Sunny,Arena,779,278,367,216,5,19069
Extreme Heat,Stadium,232,407,146,55,4,1761
Partly Cloudy,Arena,942,504,111,365,7,26936
Storm,Stadium,529,293,614,698,8,3014
Storm,Stadium,148,795,557,503,1,1240
Clear,Arena,396,276,923,743,5,26419
Sunny,Convention Center,660,437,493,766,3,1795
Clear,Convention Center,637,106,504,924,1,1260
Extreme Heat,Stadium,903,657,474,454,3,1817
Clear,Arena,301,419,835,103,6,21398
Partly Cloudy,Convention Center,359,610,889,76,7,2710
Storm,Arena,237,428,270,229,8,2735
Extreme Heat,Arena,646,374,994,913,4,2161
Clear,Arena,662,72,420,257,3,12956
Sunny,Theater,235,948,896,263,5,2305
Partly Cloudy,Arena,735,997,706,330,9,44701
Partly Cloudy,Theater,202,633,366,992,6,2526
Clear,Stadium,255,29,279,181,9,13916
Storm,Convention Center,597,187,282,892,6,2469
Clear,Convention Center,661,363,39,767,2,1463
Extreme Heat,Convention Center,234,865,958,549,5,2362
Clear,Convention Center,344,799,188,687,9,3229
Partly Cloudy,Convention Center,533,450,163,26,8,2737
Clear,Convention Center,859,194,993,275,7,2812
Storm,Convention Center,796,155,988,651,1,1310
Sunny,Stadium,780,171,535,298,4,18298
Rain,Arena,465,846,535,956,7,2939
Clear,Park,769,40,3,798,7,22920
Storm,Theater,540,62,834,90,6,2366
Storm,Park,212,22,289,479,8,2688
Sunny,Park,462,359,952,572,6,29436
Partly Cloudy,Arena,435,74,432,457,10,25699
Storm,Arena,282,559,470,450,3,1695
Storm,Arena,561,671,180,364,4,1940
Storm,Convention Center,606,824,247,858,3,1825
Storm,Stadium,462,117,627,674,1,1225
Extreme Heat,Convention Center,406,611,278,350,10,3352
Extreme Heat,Stadium,87,379,876,654,5,2231
Partly Cloudy,Stadium,43,928,580,399,1,12407
Clear,Park,460,919,862,252,1,15584
Storm,Park,277,678,253,780,2,1486
Sunny,Stadium,682,289,180,880,4,20610
Clear,Stadium,420,439,829,802,6,31133
Sunny,Convention Center,700,667,680,458,8,3121
Clear,Convention Center,352,932,824,698,3,1871
Partly Cloudy,Park,695,6,508,916,1,13431
Storm,Arena,514,195,760,498,3,1730
Storm,Stadium,702,420,699,949,3,1865
Rain,Convention Center,629,567,565,970,5,2389
Sunny,Park,18,832,325,925,4,21256
Clear,Convention Center,22,192,356,507,4,1806
Clear,Stadium,412,558,824,303,9,34495
Extreme Heat,Stadium,29,147,649,500,7,2549
Rain,Theater,806,786,679,802,4,2190
Extreme Heat,Arena,107,668,390,597,3,1696
Extreme Heat,Theater,366,201,614,165,6,2323
Extreme Heat,Park,280,443,933,414,3,1747
Sunny,Convention Center,127,913,84,461,6,2380
Sunny,Park,228,987,316,919,9,39864
Partly Cloudy,Stadium,110,418,211,113,6,11968
Partly Cloudy,Theater,135,426,514,432,4,1889
Extreme Heat,Theater,361,478,383,991,5,2278
Rain,Theater,185,474,690,355,6,2408
Clear,Park,655,125,341,927,3,18173
Sunny,Stadium,583,394,814,694,8,37289
Rain,Convention Center,128,816,963,206,4,2005
Storm,Convention Center,875,880,987,767,8,3410
Sunny,Park,260,805,843,234,10,37885
Sunny,Theater,514,575,37,441,10,3326
Partly Cloudy,Arena,448,324,510,354,3,14798
Clear,Park,899,391,419,514,10,39212
Clear,Park,103,929,750,207,7,27798
Storm,Stadium,482,687,168,708,9,3238
Storm,Convention Center,223,627,964,852,4,2111
Sunny,Park,831,439,908,124,8,34720
Extreme Heat,Park,873,203,342,137,3,1661
Partly Cloudy,Theater,865,485,825,338,7,2863
Partly Cloudy,Theater,490,832,305,536,3,1763
Sunny,Arena,472,30,541,67,7,16485
Rain,Stadium,9,387,701,572,10,3360
Extreme Heat,Arena,404,624,868,540,10,3618
Sunny,Theater,895,876,536,382,6,2645
Extreme Heat,Convention Center,301,433,111,18,2,1324
Extreme Heat,Theater,230,836,410,682,3,1762
Extreme Heat,Stadium,730,925,946,449,6,2732
Sunny,Theater,922,375,205,73,4,1902
Partly Cloudy,Stadium,65,343,184,572,6,15618
Partly Cloudy,Stadium,936,442,381,938,1,16777
Extreme Heat,Stadium,111,578,495,664,10,3420
Rain,Stadium,12,74,378,275,1,1088
Clear,Stadium,392,556,46,47,3,9925
Sunny,Convention Center,499,771,885,210,8,3081
Clear,Arena,931,665,739,854,8,47173
Rain,Park,597,154,550,919,4,2026
Sunny,Arena,233,429,527,650,6,23516
Extreme Heat,Stadium,601,362,503,621,8,3001
Partly Cloudy,Convention Center,313,447,21,993,7,2668
Clear,Theater,565,986,212,694,7,2848
Storm,Convention Center,11,233,309,539,4,1809
Storm,Stadium,208,562,660,708,9,3267
Rain,Convention Center,973,817,967,190,10,3790
Extreme Heat,Convention Center,13,261,752,314,6,2321
Clear,Stadium,632,826,271,900,3,22931
Extreme Heat,Convention Center,417,124,570,562,5,2161
Clear,Park,436,910,798,660,5,31326
Rain,Park,376,244,937,779,5,2304
Rain,Convention Center,19,541,201,561,8,2780
Storm,Theater,586,937,31,899,9,3365
Extreme Heat,Stadium,911,484,442,757,9,3409
Sunny,Park,754,121,161,112,6,15431
Storm,Theater,734,124,766,169,6,2430
Extreme Heat,Convention Center,69,548,253,467,9,3017
Storm,Theater,823,169,520,677,4,2020
Sunny,Arena,210,123,976,920,6,28079
Partly Cloudy,Park,100,868,650,13,4,16866
Partly Cloudy,Convention Center,697,34,479,714,1,1230
Partly Cloudy,Stadium,131,86,9,287,7,8802
Partly Cloudy,Convention Center,622,645,725,906,10,3773
Clear,Stadium,380,707,504,188,6,22814
Partly Cloudy,Convention Center,131,785,784,913,9,3415
Sunny,Theater,19,200,835,154,7,2518
Rain,Theater,905,368,559,566,7,2833
Rain,Theater,535,796,435,693,2,1554
Clear,Arena,226,76,110,721,9,19832
Partly Cloudy,Stadium,153,58,152,887,10,23275
Partly Cloudy,Theater,804,430,634,470,9,3329
Partly Cloudy,Arena,741,637,916,74,6,29705
Storm,Stadium,468,499,868,276,3,1754
Extreme Heat,Convention Center,821,912,101,939,1,1332
Storm,Arena,999,108,752,644,4,2080
Extreme Heat,Park,870,735,832,342,3,1866
Partly Cloudy,Arena,404,277,190,424,1,8575
Partly Cloudy,Arena,201,67,728,570,3,14225
Storm,Stadium,37,68,562,510,4,1825
Storm,Convention Center,941,164,803,856,8,3196
Extreme Heat,Park,771,488,80,181,9,3074
Rain,Theater,187,304,488,457,3,1641
Extreme Heat,Theater,56,908,894,917,6,2666
Storm,Arena,940,673,87,850,10,3656
Sunny,Stadium,19,364,193,832,5,16626
Storm,Stadium,272,853,103,63,6,2309
Sunny,Theater,118,820,782,838,4,2091
Clear,Park,582,378,95,259,10,24323
Storm,Convention Center,515,342,422,192,6,2353
Clear,Park,220,946,890,654,7,37077
Rain,Convention Center,525,898,197,615,9,3297
Extreme Heat,Theater,514,553,0,971,10,3484
Sunny,Convention Center,727,353,406,405,7,2699
Extreme Heat,Stadium,740,415,377,725,6,2541
Clear,Arena,335,108,166,753,1,8967
Sunny,Arena,697,562,508,942,2,20217
Extreme Heat,Theater,54,761,637,720,1,1260
Storm,Stadium,499,496,312,92,9,3036
Partly Cloudy,Park,899,340,592,429,10,39818
Clear,Stadium,887,941,417,653,10,50269
Extreme Heat,Arena,765,382,762,433,9,3330
Clear,Arena,535,532,680,403,7,29870
Clear,Stadium,161,299,476,433,2,10810
Sunny,Stadium,669,138,72,111,6,13583
Sunny,Arena,593,358,140,928,4,20497
Partly Cloudy,Park,914,835,581,374,1,16818
Storm,Theater,158,498,261,58,1,1117
Clear,Theater,187,384,339,42,5,2005
Extreme Heat,Stadium,59,603,307,206,2,1369
Rain,Theater,914,958,244,779,4,2155
Clear,Arena,816,279,514,295,1,12138
Clear,Arena,318,636,336,117,4,14769
Partly Cloudy,Stadium,877,482,574,531,6,30828
Storm,Stadium,210,908,560,221,10,3438
Rain,Stadium,405,110,75,165,4,1744
Sunny,Park,663,865,879,642,1,18836
Sunny,Theater,108,138,174,155,7,2351
Extreme Heat,Stadium,75,995,108,183,2,1395
Rain,Convention Center,541,434,182,89,9,2988
Sunny,Convention Center,313,508,191,93,3,1585
Extreme Heat,Arena,997,272,64,12,8,2787
Storm,Theater,116,98,848,972,8,2985
Extreme Heat,Stadium,926,763,962,833,3,1985
Sunny,Convention Center,867,849,473,804,4,2174
Partly Cloudy,Theater,703,103,782,944,2,1564
Partly Cloudy,Arena,18,213,99,741,4,11624
Partly Cloudy,Park,431,760,543,833,9,41644
Sunny,Theater,684,663,863,803,2,1633
Partly Cloudy,Theater,739,761,127,437,3,1746
Rain,Park,349,786,451,537,4,2007
Storm,Theater,182,164,913,586,5,2198
Extreme Heat,Arena,112,998,368,967,1,1293
Extreme Heat,Arena,182,852,850,875,7,2928
Sunny,Park,480,519,42,935,10,35166
Partly Cloudy,Stadium,145,283,883,810,7,29497
Partly Cloudy,Convention Center,830,516,418,149,9,3196
Clear,Stadium,627,656,487,659,4,24335
Storm,Theater,112,612,77,7,6,2193
Rain,Convention Center,762,163,825,28,2,1456
Extreme Heat,Park,475,885,800,295,4,2071
Clear,Park,762,658,269,985,2,19971
Clear,Convention Center,302,63,673,925,10,3459
Sunny,Arena,970,90,700,720,5,27914
Extreme Heat,Convention Center,824,116,758,639,7,2816
Sunny,Theater,117,865,899,339,1,1266
Rain,Arena,812,266,727,627,10,3617
Clear,Park,160,821,314,438,10,31186
Clear,Convention Center,400,684,924,143,7,2767
Storm,Stadium,197,558,850,941,10,3655
Rain,Stadium,259,139,901,829,6,2510
Clear,Theater,659,245,888,746,6,2609
Rain,Stadium,751,660,992,518,8,3241
Extreme Heat,Convention Center,46,757,944,975,8,3183
Partly Cloudy,Convention Center,986,394,167,44,6,2381
Clear,Stadium,398,486,338,954,3,19221
Storm,Convention Center,709,475,192,238,5,2148
Extreme Heat,Theater,558,516,452,951,2,1556
Rain,Arena,77,976,282,943,5,2292
Sunny,Theater,123,183,335,154,9,2848
Extreme Heat,Theater,74,19,389,180,10,3022
Clear,Convention Center,870,936,999,214,1,1362
Rain,Arena,136,557,524,87,10,3238
Partly Cloudy,Convention Center,601,523,239,255,5,2149
Extreme Heat,Park,399,581,831,510,6,2557
Clear,Convention Center,836,528,957,72,7,2831
Storm,Convention Center,504,882,482,930,9,3472
Sunny,Convention Center,499,146,658,178,6,2355
Rain,Arena,572,665,715,211,5,2267
Extreme Heat,Convention Center,137,303,591,804,7,2684
Extreme Heat,Arena,49,619,890,233,1,1214
Partly Cloudy,Stadium,770,747,554,464,5,28493
Partly Cloudy,Park,972,819,457,750,2,22245
Storm,Arena,618,863,88,222,4,1943
Sunny,Stadium,624,581,659,630,7,34297
Storm,Arena,861,694,94,824,5,2334
Clear,Arena,253,761,451,263,6,22217
Clear,Park,629,227,427,206,2,11652
Storm,Theater,709,101,150,606,3,1663
